0,0,0
306,328,1
382,412,2
461,501,3
546,576,4
637,667,1
790,814,2
874,904,3
959,984,4
1054,1076,1
1120,1147,2
1194,1211,3
1239,1256,4
1301,1321,1
1366,1392,2
1443,1471,3
1532,1553,4
1616,1636,1
1697,1729,2
1803,1828,3
1891,1913,4
1972,1997,1
2050,2081,2
2145,2185,3
2243,2267,4
2443,2493,1
2577,2607,2
2717,2750,3
2833,2870,4
2960,2995,1
3046,3086,2
3190,3227,3
3299,3340,4
3426,3460,1
3525,3570,2
3638,3678,3
3754,3799,4
3856,3890,1
3961,4004,2
4084,4116,3
4189,4243,4
